,Unnamed: 0,copies,f1,f1_fid,score_p,score_n,score_fidp,score_fidn
60,60,61.0,0.8458334,0.851342,0.51375014,-0.35782886,0.36324164,-0.2021958
61,61,62.0,0.8458334,0.851342,0.51565254,-0.35776654,0.36609656,-0.20338121
62,62,63.0,0.8458334,0.851342,0.5175079,-0.35768086,0.3688987,-0.20453505
63,63,64.0,0.8458334,0.851342,0.5193175,-0.35757285,0.37164938,-0.20565823
64,64,65.0,0.8458334,0.851342,0.52108276,-0.35744375,0.37434968,-0.20675159
65,65,66.0,0.8458334,0.851342,0.5228049,-0.35729465,0.37700084,-0.207816
66,66,67.0,0.8458334,0.851342,0.5244854,-0.35712647,0.37960395,-0.2088522
67,67,68.0,0.8458334,0.851342,0.52612525,-0.35694027,0.3821601,-0.20986104
68,68,69.0,0.8458334,0.851342,0.52772576,-0.35673684,0.38467035,-0.21084313
69,69,70.0,0.8458334,0.851342,0.52928793,-0.35651714,0.38713574,-0.21179938
70,70,71.0,0.8458334,0.851342,0.53081286,-0.3562819,0.38955724,-0.21273036
71,71,72.0,0.8458334,0.851342,0.53230166,-0.356032,0.39193588,-0.21363679
72,72,73.0,0.8458334,0.851342,0.5337553,-0.35576814,0.39427257,-0.2145193
73,73,74.0,0.8458334,0.851342,0.5351747,-0.355491,0.39656815,-0.21537857
74,74,75.0,0.8458334,0.851342,0.5365609,-0.3552013,0.39882368,-0.21621516
75,75,76.0,0.8458334,0.851342,0.53791463,-0.35489964,0.40103984,-0.21702972
76,76,77.0,0.8458334,0.851342,0.5392369,-0.35458666,0.4032176,-0.21782276
77,77,78.0,0.8458334,0.851342,0.5405285,-0.3542629,0.40535778,-0.21859491
78,78,79.0,0.8458334,0.851342,0.5417901,-0.3539289,0.4074611,-0.21934667
79,79,80.0,0.8458334,0.851342,0.5430227,-0.35358524,0.4095284,-0.22007859
80,80,81.0,0.8458334,0.851342,0.54422694,-0.35323244,0.4115604,-0.22079113
81,81,82.0,0.8458334,0.85908395,0.5454035,-0.35287085,0.41355792,-0.22148483
82,82,83.0,0.8458334,0.85908395,0.54655313,-0.352501,0.41552147,-0.22216015
83,83,84.0,0.8458334,0.85908395,0.54767656,-0.3521234,0.41745195,-0.22281754
84,84,85.0,0.8458334,0.85908395,0.54877436,-0.3517384,0.41935,-0.22345746
85,85,86.0,0.8458334,0.85908395,0.54984725,-0.3513463,0.42121625,-0.22408035
86,86,87.0,0.8458334,0.85908395,0.5508958,-0.3509476,0.4230513,-0.22468662
87,87,88.0,0.8458334,0.85908395,0.55192053,-0.3505426,0.4248559,-0.22527671
88,88,89.0,0.8458334,0.85908395,0.5529222,-0.35013166,0.4266305,-0.22585097
89,89,90.0,0.8458334,0.85908395,0.55390114,-0.34971514,0.4283758,-0.22640982
90,90,91.0,0.8458334,0.85908395,0.5548581,-0.3492933,0.43009242,-0.2269536
91,91,92.0,0.8458334,0.85908395,0.5557935,-0.3488664,0.43178082,-0.2274827
92,92,93.0,0.8458334,0.85908395,0.5567079,-0.3484348,0.43344164,-0.2279975
93,93,94.0,0.8458334,0.85908395,0.5576017,-0.34799874,0.43507534,-0.22849827
94,94,95.0,0.85371524,0.85908395,0.5584756,-0.34755856,0.43668246,-0.2289854
95,95,96.0,0.85371524,0.85908395,0.5593297,-0.34711432,0.4382636,-0.2294592
96,96,97.0,0.85371524,0.85908395,0.56016475,-0.3466664,0.43981916,-0.22991998
97,97,98.0,0.85371524,0.85908395,0.56098104,-0.34621495,0.44134966,-0.23036802
98,98,99.0,0.85371524,0.85908395,0.56177914,-0.3457603,0.4428556,-0.23080365
99,99,100.0,0.85371524,0.85908395,0.5625593,-0.34530255,0.44433737,-0.23122716
100,100,101.0,0.85371524,0.85908395,0.56332195,-0.3448419,0.44579548,-0.23163882
101,101,102.0,0.85371524,0.85908395,0.56406766,-0.34437862,0.4472304,-0.2320389
102,102,103.0,0.85371524,0.85908395,0.56479657,-0.34391275,0.44864255,-0.23242764
103,103,104.0,0.85371524,0.85908395,0.5655092,-0.34344462,0.45003223,-0.23280537
104,104,105.0,0.85371524,0.85908395,0.56620586,-0.34297425,0.45140004,-0.23317225
105,105,106.0,0.85371524,0.85908395,0.56688684,-0.34250194,0.45274624,-0.23352857
106,106,107.0,0.85371524,0.85908395,0.5675526,-0.34202772,0.45407128,-0.2338746
107,107,108.0,0.85371524,0.85908395,0.5682034,-0.34155178,0.45537558,-0.23421052
108,108,109.0,0.85371524,0.85908395,0.5688395,-0.34107423,0.45665947,-0.23453656
109,109,110.0,0.85371524,0.85908395,0.5694613,-0.34059525,0.45792323,-0.23485294
110,110,111.0,0.85371524,0.85908395,0.570069,-0.34011498,0.4591674,-0.23515987
111,111,112.0,0.85371524,0.85908395,0.57066315,-0.33963346,0.46039218,-0.23545761
112,112,113.0,0.85371524,0.85908395,0.5712438,-0.33915085,0.461598,-0.2357463
113,113,114.0,0.85371524,0.85908395,0.57181126,-0.33866724,0.46278515,-0.23602614
114,114,115.0,0.85371524,0.8521575,0.5723659,-0.33818275,0.46395406,-0.23629737
115,115,116.0,0.85371524,0.8521575,0.5729078,-0.33769757,0.46510482,-0.2365601
116,116,117.0,0.85371524,0.8521575,0.5734374,-0.3372116,0.46623793,-0.23681459
117,117,118.0,0.85371524,0.8521575,0.57395494,-0.33672506,0.46735367,-0.237061
118,118,119.0,0.85371524,0.8521575,0.5744606,-0.33623803,0.4684523,-0.23729944
119,119,120.0,0.85371524,0.8521575,0.5749546,-0.33575064,0.46953416,-0.23753019
120,120,121.0,0.85371524,0.8521575,0.5754372,-0.3352628,0.47059947,-0.2377533
121,121,122.0,0.85371524,0.8521575,0.57590866,-0.33477476,0.47164854,-0.23796897
122,122,123.0,0.85371524,0.8521575,0.57636917,-0.33428654,0.47268167,-0.23817739
123,123,124.0,0.85371524,0.8521575,0.57681906,-0.33379817,0.47369915,-0.23837872
124,124,125.0,0.85371524,0.8521575,0.57725835,-0.33330977,0.47470117,-0.23857303
125,125,126.0,0.85371524,0.8521575,0.5776874,-0.33282137,0.47568798,-0.23876052
126,126,127.0,0.85371524,0.8521575,0.5781062,-0.33233303,0.47665992,-0.23894131
127,127,128.0,0.85371524,0.8521575,0.5785153,-0.33184487,0.47761717,-0.23911557
128,128,129.0,0.85371524,0.8521575,0.5789145,-0.33135685,0.47856006,-0.2392834
129,129,130.0,0.85371524,0.8521575,0.57930434,-0.33086914,0.4794887,-0.23944497
130,130,131.0,0.85371524,0.8521575,0.57968485,-0.3303817,0.48040336,-0.23960038
131,131,132.0,0.85371524,0.8521575,0.580056,-0.32989454,0.48130435,-0.23974971
132,132,133.0,0.85371524,0.8521575,0.58041835,-0.32940784,0.4821918,-0.2398932
133,133,134.0,0.85371524,0.8521575,0.5807718,-0.3289216,0.48306593,-0.24003085
134,134,135.0,0.85371524,0.8521575,0.5811166,-0.32843575,0.48392707,-0.2401629
135,135,136.0,0.85371524,0.8521575,0.58145297,-0.3279505,0.48477525,-0.24028936
136,136,137.0,0.85371524,0.8521575,0.581781,-0.32746583,0.48561078,-0.24041036
137,137,138.0,0.85371524,0.8521575,0.5821008,-0.32698172,0.4864339,-0.240526
138,138,139.0,0.85371524,0.8521575,0.5824126,-0.3264982,0.4872447,-0.24063647
139,139,140.0,0.85371524,0.8521575,0.5827166,-0.3260154,0.4880435,-0.24074177
140,140,141.0,0.85371524,0.8458334,0.58301276,-0.32553333,0.48883042,-0.24084207
141,141,142.0,0.85371524,0.8458334,0.5833014,-0.32505196,0.48960558,-0.24093743
142,142,143.0,0.85371524,0.8458334,0.5835826,-0.32457137,0.49036923,-0.24102795
143,143,144.0,0.85371524,0.8458334,0.58385646,-0.32409155,0.4911216,-0.24111381
144,144,145.0,0.85371524,0.8458334,0.5841232,-0.32361257,0.4918627,-0.24119493
145,145,146.0,0.85371524,0.8458334,0.5843829,-0.32313442,0.49259296,-0.24127157
146,146,147.0,0.85371524,0.8458334,0.5846356,-0.32265714,0.49331242,-0.2413437
147,147,148.0,0.85371524,0.8458334,0.5848816,-0.32218075,0.49402112,-0.24141149
148,148,149.0,0.85371524,0.8458334,0.58512086,-0.3217053,0.49471936,-0.24147499
149,149,150.0,0.85371524,0.8458334,0.5853536,-0.3212308,0.49540728,-0.24153428
150,150,151.0,0.85371524,0.8458334,0.58557993,-0.3207572,0.49608508,-0.24158946
151,151,152.0,0.85371524,0.8458334,0.5857998,-0.32028466,0.49675274,-0.24164057
152,152,153.0,0.85371524,0.8458334,0.5860136,-0.31981307,0.49741068,-0.2416877
153,153,154.0,0.85371524,0.8458334,0.5862213,-0.31934246,0.4980588,-0.24173097
154,154,155.0,0.85371524,0.8458334,0.5864229,-0.31887293,0.49869737,-0.24177043
