,Unnamed: 0,copies,f1,f1_fid
0,0,10.75,0.8458334,0.8175472
1,1,10.75,0.8458334,0.8175472
2,2,10.75,0.8458334,0.8175472
3,3,10.75,0.8458334,0.8175472
4,4,10.75,0.8458334,0.8175472
5,5,10.75,0.8458334,0.8175472
6,6,10.75,0.8458334,0.8175472
7,7,10.75,0.8458334,0.8175472
8,8,10.75,0.8458334,0.8175472
9,9,10.75,0.8458334,0.8258231
10,10,10.75,0.8458334,0.8258231
11,11,10.75,0.8458334,0.8258231
12,12,10.75,0.8458334,0.8258231
13,13,10.75,0.8458334,0.8258231
14,14,10.75,0.8458334,0.8258231
15,15,10.75,0.8458334,0.8258231
16,16,10.75,0.8458334,0.8258231
17,17,10.75,0.8458334,0.8258231
18,18,10.75,0.8458334,0.83493984
19,19,10.75,0.8458334,0.83493984
20,20,10.75,0.8458334,0.83493984
21,21,10.75,0.8458334,0.83493984
22,22,10.75,0.8458334,0.83493984
23,23,10.75,0.8458334,0.83493984
24,24,10.75,0.8458334,0.83493984
25,25,10.75,0.8458334,0.83493984
26,26,10.75,0.8458334,0.83493984
27,27,10.75,0.8458334,0.83493984
28,28,10.75,0.8458334,0.83493984
29,29,10.75,0.8458334,0.83493984
30,30,10.75,0.8458334,0.83493984
31,31,10.75,0.8458334,0.83493984
32,32,10.75,0.8458334,0.83493984
33,33,10.75,0.8458334,0.83493984
34,34,10.75,0.8458334,0.83493984
35,35,10.75,0.8458334,0.83493984
36,36,10.75,0.8458334,0.83493984
37,37,10.75,0.8458334,0.83493984
38,38,10.75,0.8458334,0.83493984
39,39,10.75,0.8458334,0.83493984
40,40,10.75,0.8458334,0.83493984
41,41,10.75,0.8458334,0.83493984
42,42,10.75,0.8458334,0.83493984
43,43,24.75,0.8458334,0.83493984
44,44,24.75,0.8458334,0.83493984
45,45,24.75,0.8458334,0.83493984
46,46,24.75,0.8458334,0.83493984
47,47,24.75,0.8458334,0.83493984
48,48,24.75,0.8458334,0.83493984
49,49,24.75,0.8458334,0.83493984
50,50,24.75,0.8458334,0.83493984
51,51,24.75,0.8458334,0.83493984
52,52,24.75,0.8458334,0.83493984
53,53,24.75,0.8458334,0.83493984
54,54,24.75,0.8458334,0.83493984
55,55,24.75,0.8458334,0.83493984
56,56,24.75,0.8458334,0.83493984
57,57,24.75,0.8458334,0.83493984
58,58,24.75,0.8458334,0.83493984
59,59,24.75,0.8458334,0.83493984
60,60,24.75,0.8458334,0.83493984
61,61,24.75,0.8458334,0.83493984
62,62,24.75,0.8458334,0.83493984
63,63,24.75,0.8458334,0.83493984
64,64,24.75,0.8458334,0.83493984
65,65,24.75,0.8458334,0.83493984
66,66,24.75,0.8458334,0.83493984
67,67,24.75,0.8458334,0.83493984
68,68,24.75,0.8458334,0.83493984
69,69,24.75,0.8458334,0.83493984
70,70,24.75,0.8458334,0.83493984
