,copies,f1,f1_fid
227,100.0,1.0,1.0
228,100.0,1.0,1.0
229,100.0,1.0,1.0
230,100.0,1.0,1.0
231,100.0,1.0,1.0
232,100.0,1.0,1.0
233,100.0,1.0,1.0
234,100.0,1.0,1.0
235,100.0,1.0,1.0
236,100.0,1.0,1.0
237,100.0,1.0,1.0
238,100.0,1.0,1.0
239,100.0,1.0,1.0
240,100.0,1.0,1.0
241,100.0,1.0,1.0
242,100.0,1.0,1.0
243,100.0,1.0,1.0
244,100.0,1.0,1.0
245,100.0,1.0,1.0
246,100.0,1.0,1.0
247,100.0,1.0,1.0
248,100.0,1.0,1.0
249,100.0,1.0,1.0
250,100.0,1.0,1.0
251,100.0,1.0,1.0
252,100.0,1.0,1.0
253,100.0,1.0,1.0
254,100.0,1.0,1.0
255,100.0,1.0,1.0
256,100.0,1.0,1.0
257,100.0,1.0,1.0
258,100.0,1.0,1.0
259,100.0,1.0,1.0
260,100.0,1.0,1.0
261,100.0,1.0,1.0
262,100.0,1.0,1.0
263,100.0,1.0,1.0
264,100.0,1.0,1.0
265,100.0,1.0,1.0
266,100.0,1.0,1.0
267,100.0,1.0,1.0
268,100.0,1.0,1.0
269,100.0,1.0,1.0
270,100.0,1.0,1.0
271,100.0,1.0,1.0
272,100.0,1.0,1.0
273,100.0,1.0,1.0
274,100.0,1.0,1.0
275,100.0,1.0,1.0
276,100.0,1.0,1.0
277,100.0,1.0,1.0
278,100.0,1.0,1.0
279,100.0,1.0,1.0
280,100.0,1.0,1.0
281,100.0,1.0,1.0
282,100.0,1.0,1.0
283,100.0,1.0,1.0
284,100.0,1.0,1.0
285,100.0,1.0,1.0
286,100.0,1.0,1.0
287,100.0,1.0,1.0
288,100.0,1.0,1.0
289,100.0,1.0,1.0
290,100.0,1.0,1.0
291,100.0,1.0,1.0
292,100.0,1.0,1.0
293,100.0,1.0,1.0
294,100.0,1.0,1.0
295,100.0,1.0,1.0
296,100.0,1.0,1.0
297,100.0,1.0,1.0
298,100.0,1.0,1.0
299,100.0,1.0,1.0
300,100.0,1.0,1.0
301,100.0,1.0,1.0
302,100.0,1.0,1.0
303,100.0,1.0,1.0
304,100.0,1.0,1.0
305,100.0,1.0,1.0
306,100.0,1.0,1.0
307,100.0,1.0,1.0
308,100.0,1.0,1.0
309,100.0,1.0,1.0
310,100.0,1.0,1.0
311,100.0,1.0,1.0
312,100.0,1.0,1.0
313,100.0,1.0,1.0
314,100.0,1.0,1.0
315,100.0,1.0,1.0
316,100.0,1.0,1.0
317,100.0,1.0,1.0
318,100.0,1.0,1.0
319,100.0,1.0,1.0
320,100.0,1.0,1.0
321,100.0,1.0,1.0
322,100.0,1.0,1.0
323,100.0,1.0,1.0
