,Unnamed: 0,copies,f1,f1_fid
0,0,100.0,0.6464103,0.6464103
1,1,100.0,0.6464103,0.6464103
2,2,100.0,0.6464103,0.6464103
3,3,100.0,0.6464103,0.6464103
4,4,100.0,0.6464103,0.6464103
5,5,100.0,0.6464103,0.6464103
6,6,100.0,0.6464103,0.6464103
7,7,100.0,0.6464103,0.6464103
8,8,100.0,0.6464103,0.6464103
9,9,100.0,0.6464103,0.6464103
10,10,100.0,0.6464103,0.6464103
11,11,100.0,0.6464103,0.6464103
12,12,100.0,0.6464103,0.6464103
13,13,100.0,0.6464103,0.6464103
14,14,100.0,0.6464103,0.6464103
15,15,100.0,0.6273626,0.6464103
16,16,100.0,0.6273626,0.6464103
17,17,100.0,0.6273626,0.6464103
18,18,100.0,0.6273626,0.6464103
19,19,100.0,0.6273626,0.6464103
20,20,100.0,0.6273626,0.6464103
21,21,100.0,0.6273626,0.6464103
22,22,100.0,0.6273626,0.6464103
23,23,100.0,0.6273626,0.6464103
24,24,100.0,0.6273626,0.6464103
25,25,100.0,0.6273626,0.6464103
26,26,100.0,0.6273626,0.6464103
27,27,100.0,0.6273626,0.6464103
28,28,100.0,0.6273626,0.6464103
29,29,100.0,0.6273626,0.6464103
30,30,100.0,0.6273626,0.6464103
31,31,100.0,0.6273626,0.6464103
32,32,100.0,0.6273626,0.6464103
33,33,100.0,0.6273626,0.6464103
34,34,100.0,0.6273626,0.6464103
35,35,100.0,0.6273626,0.6464103
36,36,100.0,0.6273626,0.6464103
37,37,100.0,0.6273626,0.6464103
38,38,100.0,0.6273626,0.6273626
39,39,100.0,0.6273626,0.6133766
40,40,100.0,0.6273626,0.6133766
41,41,100.0,0.6273626,0.6133766
42,42,100.0,0.6273626,0.6133766
43,43,100.0,0.6376191,0.6133766
44,44,100.0,0.6376191,0.6133766
45,45,100.0,0.6133766,0.6133766
46,46,100.0,0.6133766,0.6133766
47,47,100.0,0.6133766,0.6133766
48,48,100.0,0.6133766,0.6133766
49,49,100.0,0.6133766,0.6133766
50,50,100.0,0.6133766,0.6133766
51,51,100.0,0.6133766,0.6133766
52,52,100.0,0.6133766,0.6133766
53,53,100.0,0.6133766,0.6133766
54,54,100.0,0.6133766,0.6133766
55,55,100.0,0.6133766,0.6133766
56,56,100.0,0.6133766,0.6133766
57,57,100.0,0.6133766,0.6133766
58,58,100.0,0.6133766,0.6133766
59,59,100.0,0.6133766,0.6133766
60,60,100.0,0.6133766,0.6133766
61,61,100.0,0.6133766,0.6133766
62,62,100.0,0.6133766,0.6133766
63,63,100.0,0.66670996,0.6133766
64,64,100.0,0.66670996,0.6133766
65,65,100.0,0.66670996,0.6133766
66,66,100.0,0.66670996,0.6133766
67,67,100.0,0.66670996,0.6133766
68,68,100.0,0.66670996,0.6133766
69,69,100.0,0.66670996,0.6133766
70,70,100.0,0.66670996,0.6133766
71,71,100.0,0.66670996,0.6133766
72,72,100.0,0.66670996,0.6133766
73,73,100.0,0.66670996,0.6133766
74,74,100.0,0.66670996,0.6133766
75,75,100.0,0.66670996,0.6133766
76,76,100.0,0.66670996,0.6133766
77,77,100.0,0.66670996,0.66670996
78,78,100.0,0.66670996,0.66670996
79,79,100.0,0.66670996,0.66670996
80,80,100.0,0.66670996,0.66670996
81,81,100.0,0.66670996,0.66670996
82,82,100.0,0.66670996,0.66670996
83,83,100.0,0.66670996,0.66670996
84,84,100.0,0.6524242,0.66670996
85,85,100.0,0.6524242,0.66670996
86,86,100.0,0.6524242,0.66670996
87,87,100.0,0.6524242,0.66670996
88,88,100.0,0.6524242,0.66670996
89,89,100.0,0.6524242,0.66670996
90,90,100.0,0.6524242,0.66670996
91,91,100.0,0.6524242,0.66670996
92,92,100.0,0.6524242,0.66670996
93,93,100.0,0.6524242,0.66670996
94,94,100.0,0.6524242,0.66670996
95,95,100.0,0.6524242,0.66670996
96,96,100.0,0.6524242,0.6524242
97,97,100.0,0.6524242,0.6524242
98,98,100.0,0.6524242,0.6524242
99,99,100.0,0.6524242,0.6524242
100,100,100.0,0.6524242,0.6524242
101,101,100.0,0.6524242,0.6378788
102,102,100.0,0.6524242,0.6378788
103,103,100.0,0.6524242,0.6378788
104,104,100.0,0.6378788,0.6378788
105,105,100.0,0.6378788,0.6378788
106,106,100.0,0.6378788,0.6378788
107,107,100.0,0.6378788,0.6378788
108,108,100.0,0.6378788,0.6378788
109,109,100.0,0.6257576,0.6378788
110,110,100.0,0.6257576,0.6378788
111,111,100.0,0.6257576,0.6378788
112,112,100.0,0.6257576,0.6257576
113,113,100.0,0.6257576,0.6257576
114,114,100.0,0.6257576,0.6257576
115,115,100.0,0.6257576,0.6257576
116,116,100.0,0.6257576,0.6257576
117,117,100.0,0.6257576,0.6257576
118,118,100.0,0.6257576,0.6257576
119,119,100.0,0.6257576,0.6257576
120,120,100.0,0.6257576,0.6257576
121,121,100.0,0.6257576,0.6257576
122,122,100.0,0.6257576,0.6257576
123,123,100.0,0.6257576,0.6257576
124,124,100.0,0.6257576,0.6257576
125,125,100.0,0.6257576,0.6257576
126,126,100.0,0.6257576,0.6257576
127,127,100.0,0.6257576,0.6257576
128,128,100.0,0.6257576,0.6257576
129,129,100.0,0.6257576,0.6257576
130,130,100.0,0.6257576,0.6257576
131,131,100.0,0.6257576,0.6257576
132,132,100.0,0.6257576,0.6257576
133,133,100.0,0.6257576,0.6257576
134,134,100.0,0.6257576,0.6257576
135,135,100.0,0.6257576,0.6257576
136,136,100.0,0.6257576,0.6257576
137,137,100.0,0.6257576,0.6257576
138,138,100.0,0.6257576,0.6257576
139,139,100.0,0.6257576,0.60670996
140,140,100.0,0.60670996,0.60670996
141,141,100.0,0.60670996,0.60670996
142,142,100.0,0.60670996,0.60670996
143,143,100.0,0.60670996,0.60670996
144,144,100.0,0.60670996,0.60670996
145,145,100.0,0.60670996,0.60670996
146,146,100.0,0.60670996,0.60670996
147,147,100.0,0.60670996,0.60670996
148,148,100.0,0.61883116,0.60670996
149,149,100.0,0.61883116,0.60670996
150,150,100.0,0.61883116,0.60670996
151,151,100.0,0.61883116,0.60670996
152,152,100.0,0.61883116,0.60670996
153,153,100.0,0.61883116,0.60670996
154,154,100.0,0.61883116,0.60670996
155,155,100.0,0.61883116,0.61883116
156,156,100.0,0.61883116,0.61883116
157,157,100.0,0.61883116,0.61883116
