,copies,f1,f1_fid
0,1.0,0.4659726238673607,0.4212121212121212
1,1.25,0.4659726238673607,0.4212121212121212
2,1.5,0.463003663003663,0.4212121212121212
3,1.75,0.463003663003663,0.41777126099706746
4,2.0,0.4500805860805861,0.41777126099706746
5,2.25,0.4500805860805861,0.41777126099706746
6,2.5,0.4500805860805861,0.42204545454545456
7,2.75,0.4500805860805861,0.42204545454545456
8,3.0,0.4500805860805861,0.42204545454545456
9,3.25,0.4500805860805861,0.4196739130434783
10,3.5,0.4500805860805861,0.4111024844720498
11,3.75,0.4500805860805861,0.40669071976616733
12,4.0,0.4500805860805861,0.40669071976616733
13,4.25,0.4500805860805861,0.4032816288570765
14,4.5,0.4500805860805861,0.4032816288570765
15,4.75,0.4500805860805861,0.4032816288570765
16,5.0,0.4500805860805861,0.4032816288570765
17,5.25,0.4500805860805861,0.4032816288570765
18,5.5,0.4500805860805861,0.4032816288570765
19,5.75,0.4500805860805861,0.4032816288570765
20,6.0,0.4527472527472528,0.4118377785896968
21,6.25,0.4527472527472528,0.4118377785896968
22,6.5,0.4527472527472528,0.4118377785896968
23,6.75,0.4527472527472528,0.4027621483375959
24,7.0,0.44932844932844934,0.4027621483375959
25,7.25,0.44932844932844934,0.4027621483375959
26,7.5,0.44932844932844934,0.4027621483375959
27,7.75,0.44932844932844934,0.4027621483375959
28,8.0,0.44932844932844934,0.4027621483375959
29,8.25,0.44932844932844934,0.4027621483375959
30,8.5,0.44932844932844934,0.4027621483375959
31,8.75,0.44932844932844934,0.4027621483375959
32,9.0,0.44932844932844934,0.4027621483375959
33,9.25,0.44932844932844934,0.4027621483375959
34,9.5,0.44932844932844934,0.4027621483375959
35,9.75,0.44932844932844934,0.4027621483375959
36,10.0,0.44932844932844934,0.4027621483375959
37,10.25,0.44932844932844934,0.4027621483375959
38,10.5,0.44932844932844934,0.4027621483375959
39,10.75,0.44932844932844934,0.4027621483375959
40,11.0,0.44932844932844934,0.4027621483375959
41,11.25,0.44932844932844934,0.4027621483375959
42,11.5,0.44932844932844934,0.4027621483375959
43,11.75,0.452297410192147,0.4027621483375959
44,12.0,0.4491228070175438,0.41506984064528823
45,12.25,0.4491228070175438,0.41506984064528823
46,12.5,0.4491228070175438,0.41506984064528823
47,12.75,0.4491228070175438,0.41506984064528823
48,13.0,0.4491228070175438,0.41506984064528823
49,13.25,0.4491228070175438,0.41506984064528823
50,13.5,0.4314554502197522,0.41506984064528823
51,13.75,0.4314554502197522,0.41506984064528823
52,14.0,0.4314554502197522,0.41506984064528823
53,14.25,0.4314554502197522,0.41506984064528823
54,14.5,0.4314554502197522,0.4117084961074731
55,14.75,0.4314554502197522,0.4117084961074731
56,15.0,0.4314554502197522,0.4117084961074731
57,15.25,0.4314554502197522,0.4117084961074731
58,15.5,0.4314554502197522,0.4117084961074731
59,15.75,0.4314554502197522,0.4117084961074731
60,16.0,0.42377408464364985,0.4117084961074731
61,16.25,0.42377408464364985,0.4117084961074731
62,16.5,0.42377408464364985,0.4117084961074731
63,16.75,0.42377408464364985,0.4117084961074731
64,17.0,0.42377408464364985,0.4117084961074731
65,17.25,0.42377408464364985,0.4117084961074731
66,17.5,0.42377408464364985,0.4117084961074731
67,17.75,0.42377408464364985,0.4117084961074731
68,18.0,0.42377408464364985,0.4117084961074731
69,18.25,0.42377408464364985,0.4117084961074731
70,18.5,0.41566597653554177,0.4117084961074731
71,18.75,0.41566597653554177,0.4117084961074731
72,19.0,0.41566597653554177,0.4117084961074731
73,19.25,0.41566597653554177,0.4117084961074731
74,19.5,0.41566597653554177,0.4117084961074731
75,19.75,0.41566597653554177,0.4117084961074731
76,20.0,0.41566597653554177,0.4117084961074731
77,20.25,0.41566597653554177,0.4117084961074731
78,20.5,0.41566597653554177,0.4117084961074731
79,20.75,0.41566597653554177,0.4117084961074731
80,21.0,0.41566597653554177,0.4117084961074731
81,21.25,0.41566597653554177,0.4117084961074731
82,21.5,0.41566597653554177,0.4117084961074731
83,21.75,0.41566597653554177,0.4117084961074731
84,22.0,0.41566597653554177,0.4117084961074731
85,22.25,0.41566597653554177,0.4117084961074731
86,22.5,0.4126629735325388,0.4117084961074731
87,22.75,0.4126629735325388,0.4117084961074731
88,23.0,0.4126629735325388,0.4117084961074731
89,23.25,0.4126629735325388,0.4117084961074731
90,23.5,0.4126629735325388,0.3958982194276312
91,23.75,0.4126629735325388,0.3958982194276312
92,24.0,0.39685269685269686,0.3958982194276312
93,24.25,0.39685269685269686,0.3958982194276312
94,24.5,0.39685269685269686,0.3958982194276312
95,24.75,0.39685269685269686,0.3958982194276312
96,25.0,0.39685269685269686,0.3958982194276312
97,25.25,0.39685269685269686,0.3958982194276312
98,25.5,0.39685269685269686,0.3924794160088278
99,25.75,0.39685269685269686,0.3924794160088278
100,26.0,0.39685269685269686,0.3924794160088278
101,26.25,0.39685269685269686,0.3924794160088278
102,26.5,0.39685269685269686,0.3924794160088278
103,26.75,0.39685269685269686,0.3924794160088278
104,27.0,0.39685269685269686,0.3924794160088278
105,27.25,0.39685269685269686,0.3924794160088278
106,27.5,0.39685269685269686,0.3924794160088278
107,27.75,0.39685269685269686,0.3924794160088278
108,28.0,0.39685269685269686,0.3924794160088278
109,28.25,0.39685269685269686,0.40155504626092864
110,28.5,0.39685269685269686,0.40155504626092864
111,28.75,0.39685269685269686,0.40155504626092864
112,29.0,0.39685269685269686,0.40155504626092864
113,29.25,0.39685269685269686,0.40155504626092864
114,29.5,0.39685269685269686,0.40155504626092864
115,29.75,0.39685269685269686,0.40155504626092864
